username,likes,comment,publishedAt,updatedAt,viewerRating,parentId,comment_id,word_count,cleaned_comment,topic_nmf,topic_kmeans,topic_word2vec_kmeans,sentiment,sentiment_vader
@OrcinusLaryngologist,0,"Vomit, I can see that.
But bitter and sour?",2024-07-21T05:08:29Z,2024-07-21T05:08:29Z,none,,10,9,vomit see bitter sour,6,7,2,-0.125,-0.5719
@PremiumGerman,0,So basically americans really like the taste of vomit. Eurgh😂 get some taste buds friends,2024-07-20T17:04:32Z,2024-07-20T17:04:32Z,none,,11,15,basically american really taste vomit eurgh get taste bud friend,1,7,0,0.2,0.7089
@Bergensape,0,Is there any other country that adds this horrid flavor to their chocolate?,2024-07-01T03:04:09Z,2024-07-01T03:04:09Z,none,,12,13,country add horrid flavor chocolate,0,1,2,-0.125,-0.628
@vexcarius7100,0,"Makes sense why Hershey smells like shit. I still like it tho, feels like eating a cheese.

My issue with Cadbury is it’s freaking sweet. I like Japanese chocolates more.",2024-06-18T18:25:38Z,2024-06-18T18:28:42Z,none,,13,30,make sense hershey smell shit still tho feel eating cheese issue cadbury freaking sweet japanese chocolate,3,1,6,0.16249999999999998,0.6808
@scopex2749,0,"I used to be married to an American and we lived in Missouri. I had to put up with HERSHEYS EEEURGH. GIVE ME CADBURYS. anytime. One thing I notice if you hold a piece of Hersheys in your hand it takes ages to melt - British chocolate melts FAST. BUT I do love some American candy like MUSKETEER,  and REECES  OMG YUMMMMM oh  AND JIF is THE GREATEST peanut butter UK PB tastes FOUL and is so dry.  I still get our friends in USA to send me cases of JIF over from Florida. UK have nothing that comes NEAR to the lovely creamy JIF PB!",2024-06-16T18:49:49Z,2024-06-16T18:59:19Z,none,,14,106,used married american lived missouri put hershey eeeurgh give cadburys anytime one thing notice hold piece hershey hand take age melt british chocolate melt fast love american candy musketeer reeces omg yummmmm oh jif greatest peanut butter uk pb taste foul dry still get friend usa send case jif florida nothing come lovely creamy jif pb,2,5,0,0.26083333333333336,0.9844
@dudoklasovity2093,1,Hershey's is trash! I almost vomited.,2024-06-08T03:51:02Z,2024-06-08T03:51:02Z,none,,15,6,hershey trash almost vomited,2,5,8,0.0,0.0
@jonaskremer381,0,Bro i‘m german and Hersheys tastes like normal choclate,2024-06-07T14:59:09Z,2024-06-07T14:59:09Z,none,,16,9,bro german hershey taste normal choclate,1,6,8,0.075,0.3612
@35geordielad,0,"It's just a damn shame Hersheys trying to gain an monopoly of their own country and winning a legal ban on European chocolate, especially British chocolate like Cadburys etc,, claiming most of their packaging resembles Hersheys. If fact that couldnt be further from the truth. It was actually Cadbury winning on taste with Americans and Hersheys were worried. 

It is ashame, that most americans will never know the true taste of chocolate!",2024-06-06T20:55:35Z,2024-06-06T20:55:35Z,none,,17,72,damn shame hershey trying gain monopoly country winning legal ban european chocolate especially british chocolate cadburys etc claiming packaging resembles hershey fact couldnt truth actually cadbury winning taste american hershey worried ashame american never know true taste chocolate,2,5,0,0.2943181818181818,0.4808
@atypocrat1779,0,"Ah, my most distinguished and refined compatriots, gather 'round as I regale you with a tale of utmost horror and revulsion. One had the grievous misfortune of sampling what our uncouth transatlantic cousins have the temerity to refer to as “chawklit.” Upon the merest taste, I was struck as if by a thunderbolt of sheer gastronomic terror, akin to nibbling upon a bar concocted from the very essence of regurgitated muck!

It is, without a shadow of a doubt, an affront to the noble lineage of British confectionery, an institution as venerable as Her Majesty herself. One's senses were assailed by this so-called chocolate, leaving me in a state of profound distress, akin to discovering that one’s afternoon tea had been steeped with dishwater!

Even the most ancient and rock-like fruitcake of me Great-Uncle Percival, which has survived unscathed since the days of the Boer War, would be a delight of epicurean splendor by comparison! The impudence of it all, the gall! It is an insult of the highest order to all that is sacred and delicious.

By the whiskers of me beloved Persian cat, Lady Fluffington, even she would turn up her exquisitely royal nose at such a disgrace. It beggars belief that any creature, human or otherwise, could endure such a culinary catastrophe. The audacity to call it chocolate is beyond the pale. It’s a travesty of the highest magnitude, an abomination against the very essence of cocoa itself. Truly, it is a sign of the decline of civilization! Good heavens, I must take to me fainting couch!",2024-06-04T01:33:59Z,2024-06-04T01:33:59Z,none,,18,260,ah distinguished refined compatriot gather round regale tale utmost horror revulsion one grievous misfortune sampling uncouth transatlantic cousin temerity refer chawklit merest taste struck thunderbolt sheer gastronomic terror akin nibbling bar concocted essence regurgitated muck shadow doubt affront noble lineage british confectionery institution venerable majesty one sens assailed called chocolate leaving state profound distress discovering one afternoon tea steeped dishwater even ancient rock fruitcake great uncle percival survived unscathed day war would delight epicurean splendor comparison impudence gall insult highest order sacred delicious whisker beloved persian cat lady fluffington even would turn exquisitely royal nose disgrace beggar belief creature human otherwise could endure culinary catastrophe audacity call chocolate pale travesty highest magnitude abomination essence cocoa truly sign decline civilization good heaven must take fainting couch,0,1,8,0.25528508771929825,-0.6551
@frederickjohnsen4246,0,That’s Americans for you. Cheap is paramount. Americans will eat a steaming turd so long as it’s cheap and there’s lots of it.,2024-06-03T13:34:49Z,2024-06-03T13:34:49Z,none,,19,23,american cheap paramount american eat steaming turd long cheap lot,4,2,2,0.25,0.0
@Warg666,0,"American Chocolate if ya using Hershey's as a example is like using a geo metro to say as America's best car, you need something like Fannie May chocolate not Debrands!~
  An Hershey's has gone to shit over the past decade or so, it used to taste damn good, but all you health food crazed nuts drove them to go healthier an that RUINS quality & taste!!~~~",2024-06-02T08:45:27Z,2024-06-02T08:47:09Z,none,,20,66,american chocolate ya using hershey example using geo metro say america best car need something fannie may chocolate debrands hershey gone shit past decade used taste damn good health food crazed nut drove go healthier ruin quality taste,3,6,0,0.16927083333333334,-0.8237
@greekstyle5788,0,"I remember the first time I found out American Chocolate was kinda gross, I always assumed it'd be much much sweeter",2024-05-25T20:30:02Z,2024-05-25T20:30:02Z,none,,21,21,remember first time found american chocolate kinda gross always assumed much much sweeter,4,9,8,0.1125,-0.4228
@outsideriehl,0,I like Hershey sure but I don't eat marmite or beans on toast ok,2024-05-11T07:25:42Z,2024-05-11T07:25:42Z,none,,22,14,hershey sure eat marmite bean toast ok,2,5,6,0.5,0.6369
@jimmyboy7817,0,"Cadbury is Commonwealth Chocolate, not European chocolate. Swiss and Belgian chocolate brands are the ones to watch out for in Europe.",2024-05-09T11:23:11Z,2024-05-09T11:23:11Z,none,,23,21,cadbury commonwealth chocolate european chocolate swiss belgian chocolate brand one watch europe,8,3,0,0.0,0.0
@JJJJ-fg3qx,0,American chocolate is A1,2024-05-07T03:26:42Z,2024-05-07T03:26:42Z,none,,24,4,american chocolate,4,2,5,0.0,0.0
@klaud7311,1,"Cadbury is garbage. Marabou is the best chocolate, period.",2024-04-28T22:55:12Z,2024-04-28T22:55:12Z,none,,25,9,cadbury garbage marabou best chocolate period,8,8,8,1.0,0.6369
@tarekali1932,1,"i definitely notice it, first time i tasted hershey's i tasted the straight vomit.",2024-04-09T11:36:10Z,2024-04-09T11:36:10Z,none,,26,14,definitely notice first time tasted hershey tasted straight vomit,6,5,6,0.15,0.5574
@hus.k5134,0,Wait hold on did you just say that while milk and powdered milk are the same???,2024-03-24T03:59:35Z,2024-03-24T03:59:35Z,none,,27,16,wait hold say milk powdered milk,7,4,6,0.0,0.0
@catsandalcohol99,1,I don't eat much candies anymore but on the rare occasion when I do I sure as hell am buying a Milka bar instead of a Hershey's bar. As an American too.,2024-03-17T08:07:49Z,2024-03-17T08:07:49Z,none,,28,32,eat much candy anymore rare occasion sure hell buying milka bar instead hershey bar american,2,5,4,0.25,-0.6652
@Kwippy,1,Much more difficult to understand is why Americans tolerate their awful mass market beers.,2024-03-13T03:24:26Z,2024-03-13T03:24:26Z,none,,29,14,much difficult understand american tolerate awful mass market beer,4,1,0,-0.3333333333333333,-0.6997
@leon06010,0,"I really wonder, did those soldiers really like that vomit taste? Didn't they know any better?",2024-03-09T11:18:12Z,2024-03-09T11:18:12Z,none,,30,16,really wonder soldier really vomit taste know better,6,7,6,0.3,0.723
@Voltaic_Fire,2,"Cadbury's chocolate is more of a British chocolate than Europe wide chocolate, it is similar in taste but much like Thornton's the brand is a local thing.",2024-03-05T15:37:08Z,2024-03-05T15:37:08Z,none,,31,27,cadbury chocolate british chocolate europe wide chocolate similar taste much thornton brand local thing,8,3,6,0.10000000000000002,0.5023
@Voltaic_Fire,1,"American chocolate either tastes like chalk or vomit, sometimes both, their entire nation should be ashamed.",2024-03-05T15:26:13Z,2024-03-05T15:26:13Z,none,,32,16,american chocolate taste chalk vomit sometimes entire nation ashamed,6,7,1,0.0,-0.1531
@Mark_Ocain,0,"Hershey's chocolate tastes like it's made with sour milk...it's nasty. Cadbury chocolate tastes ok but I don't consider it 'European' chocolate per se - it's English in origin. Actual European chocolate is mind-blowingly good, even the cheaper examples.  In a comparison here of these low-end products, Cadbury is king. After seeing this explanation, my opinion of Hershey's taste seems to be validated. I guess Americans just enjoy the rancid taste of their chocolate.",2024-02-17T22:03:53Z,2024-02-17T22:17:16Z,none,,33,73,hershey chocolate taste made sour milk nasty cadbury chocolate taste ok consider european chocolate se english origin actual european chocolate mind blowingly good even cheaper example comparison low end product cadbury king seeing explanation opinion hershey taste seems validated guess american enjoy rancid taste chocolate,1,6,8,0.05000000000000001,0.7003
@jpeabody1155,0,Just goes to show that if you end up serving poop long enough some people will develop a taste for it.  I am an Aussie and enjoy Cadbury Chocolate but I love Real European chocolate,2024-02-17T02:40:20Z,2024-02-17T02:40:20Z,none,,34,35,go show end serving poop long enough people develop taste aussie enjoy cadbury chocolate real european chocolate,5,3,8,0.17,0.836
@xavierrose8208,3,"It’s Buturic acid, it tastes like vomit which is why American chocolate tastes like shit",2024-02-16T11:14:23Z,2024-02-16T11:14:23Z,none,,35,15,buturic acid taste vomit american chocolate taste shit,3,7,6,-0.1,0.1027
@chrisrees7054,1,A Hershey bar cost 5¢ in 1945,2024-02-13T20:29:26Z,2024-02-13T20:29:26Z,none,,36,7,hershey bar cost,2,5,6,0.0,0.0
@Skynet666officialchannel,1,"i gotta say, hershey;s is a disgusting chocolate. I am French and i confirm, you guys can't fucking cook for shit aside of burgers and biscuit and sausage gravy... now again, we European make much better burger anyway, no wonder the best burger in the world in 2023 was made by a french team.
Finally, cadburry is your european chocolate? really?.... the best chocolate in the world is from belgium and swiss",2024-02-05T16:21:32Z,2024-02-05T16:26:06Z,none,,37,72,gotta say hershey disgusting chocolate french confirm guy fucking cook shit aside burger biscuit sausage gravy european make much better burger anyway wonder best burger world made french team finally cadburry european chocolate really best chocolate world belgium swiss,5,8,0,0.075,0.4933
@BigC1290,0,4:56/8:32 🤢🤮,2024-02-01T04:35:08Z,2024-02-01T04:35:08Z,none,,38,2,,0,1,3,0.0,0.0
@Chainsmoker65,1,"What, you must try kraš chocolate",2024-01-28T06:37:26Z,2024-01-28T06:37:26Z,none,,39,6,must try kraš chocolate,0,1,4,0.0,0.0
@cataraxis,0,"🇺🇸: “mm delicious vomit flavour, truly the taste of my childhood”",2024-01-20T06:54:19Z,2024-01-20T06:55:13Z,none,,40,11,mm delicious vomit flavour truly taste childhood,6,7,8,1.0,0.765
@RadeonVector,0,Because it's industrial garbage similar to what a fantasy candy bar with chocolate flavoring would be in any country with decent food quality standards.,2024-01-20T04:55:19Z,2024-01-20T04:55:19Z,none,,41,24,industrial garbage similar fantasy candy bar chocolate flavoring would country decent food quality standard,0,1,4,0.08333333333333333,0.0
@JCO2002,3,"The stores ran out of local chocolate here in Jamaica over the holidays, so I broke down and bought a Hershey bar. It was the worst, most disgusting thing I've eaten in my life. Brushed my teeth right way to try to get rid of the taste of vomit, but no luck. Rinsed with hydrogen peroxide afterward, which helped.",2024-01-08T17:15:38Z,2024-01-08T17:15:38Z,none,,42,59,store ran local chocolate jamaica holiday broke bought hershey bar worst disgusting thing eaten life brushed teeth right way try get rid taste vomit luck rinsed hydrogen peroxide afterward helped,6,5,4,-0.19569160997732427,-0.4947
@NoahSpurrier,0,"I like Hershey’s chocolate. I also like fancy chocolate, but Hershey’s is its own thing. Maybe you just have to grow up eating it, like Brits and Australians like Marmite and Vegemite.",2024-01-06T13:01:50Z,2024-01-06T13:03:03Z,none,,43,32,hershey chocolate also fancy chocolate hershey thing maybe grow eating brit australian marmite vegemite,2,5,8,0.6,0.8402
@leahb9983,0,"Ever since I started buying chocolate from Aldi, Hershey doesn't taste too good. Aldi's chocolate almost tasted gourmet to me the first time I had it lol.",2024-01-04T15:51:00Z,2024-01-04T15:51:00Z,none,,44,27,ever started buying chocolate aldi hershey taste good aldi chocolate almost tasted gourmet first time lol,2,0,8,0.5833333333333334,0.1012
@grandbanana5076,0,Hershey is ass but Reese's pretty good,2024-01-04T14:50:30Z,2024-01-04T14:50:30Z,none,,45,7,hershey reese pretty good,2,0,4,0.475,0.7845
@alexander_richter,0,When I first tried Hersheys I thought the bar was off. The flavour is repulsive.,2023-12-24T08:53:26Z,2023-12-24T08:53:26Z,none,,46,15,first tried hershey thought bar flavour repulsive,2,5,2,0.25,0.0
@kalbogwapo1536,0,"HERSHEY offers delicious chocolate at an affordable price, MARS is more of a power bar chocolate, LINDT chocolate is kind of a mercedes benz of chocolate, This video is kind of a bias for me when it comes to hershey and its not true that buteric acid is added to milk in hershey products, Im saying this as a chocolate expert. I was asked by those company personally to come and evaluate and taste their products, and give an expert analysis/comments after.",2023-12-19T06:16:24Z,2023-12-19T06:35:34Z,none,,47,82,hershey offer delicious chocolate affordable price mar power bar chocolate lindt chocolate kind mercedes benz chocolate video kind bias come hershey true buteric acid added milk hershey product im saying chocolate expert asked company personally come evaluate taste product give expert analysis comment,2,5,6,0.37500000000000006,0.1717
@carlmarl6531,1,Why does the lady talk so much shit about my American tastebuds lol... I know most of American chocolate is shit that's why I don't eat them.,2023-12-13T19:25:45Z,2023-12-13T19:25:45Z,none,,48,27,lady talk much shit american tastebud lol know american chocolate shit eat,3,2,8,0.15000000000000002,-0.8297
@throow,2,I'm in Scandinavia and tasted Reese's for the first time today. Man that was awful 🤢. And there is a different between English and other EU's chocolate.,2023-11-30T21:43:13Z,2023-11-30T21:43:13Z,none,,49,27,scandinavia tasted reese first time today man awful different english eu chocolate,0,1,6,-0.175,-0.4588
@JACOBDAVID-d7t,1,As an American I think Hershey’s is overrated and kind of mid,2023-11-24T05:31:14Z,2023-11-24T05:31:14Z,none,,50,12,american think hershey overrated kind mid,4,5,6,0.19999999999999998,0.0
@MichaelMusou,0,"This video is lying. I am European (born and raised in Czechia) and I had Hershey's chocolate few years ago and loved it. It was quite sweet which isn't what I was used to but it was also somewhat softer than the chocolates I had before. I never tasted anything sour in it and I thought it was very good.

Also, I've never had ""Cadbury"" which they claim is European, so can't judge that one.",2023-11-23T02:04:40Z,2023-11-23T02:07:54Z,none,,51,75,video lying european born raised czechia hershey chocolate year ago loved quite sweet used also somewhat softer chocolate never tasted anything sour thought good also never cadbury claim european judge one,5,0,4,0.22999999999999998,0.7708
@David49305,3,"I don't think America produces any ""good"" food products.",2023-11-22T07:37:21Z,2023-11-22T07:37:21Z,none,,52,9,think produce good food product,9,0,9,0.7,0.0
@David49305,1,Traditional European chocolate doesn't have milk in it!,2023-11-22T07:21:58Z,2023-11-22T07:21:58Z,none,,53,8,traditional european chocolate milk,7,4,0,0.0,0.0
@asa-punkatsouthvinland7145,0,"Hershey's sucks! 
I was born in Atlanta Georgia but my parents had some friends from Belgium who owned an inport buisness. So for years as a kid I had high end Belgian chocolate before I ever had US chocolate. 
US chocolate not only taste bad, it tends to be grainy (not smooth) & makes my mouth slightly  sore for some reason.",2023-11-22T05:16:13Z,2023-11-22T05:16:13Z,none,,54,61,hershey suck born atlanta georgia parent friend belgium owned inport buisness year kid high end belgian chocolate ever u chocolate u chocolate taste bad tends grainy smooth make mouth slightly sore reason,9,6,0,-0.21361111111111108,0.6865
@onepartyroule,0,I remember when I travelled to the US for the first time and bought some Hershey's kisses. I think it's the only time I've grimaced when tasting chocolate. I was checking the best before date because I was convinced it had gone off!,2023-11-22T01:57:48Z,2023-11-22T01:57:48Z,none,,55,43,remember travelled u first time bought hershey kiss think time grimaced tasting chocolate checking best date convinced gone,2,5,4,0.4166666666666667,0.8172
@NinaBee21,1,"I loved Hersheys when I was a kid. Now that I’m older and I have tasted European chocolate, I can no longer eat it. European chocolate taste so much better.",2023-11-13T03:18:17Z,2023-11-13T03:18:17Z,none,,56,30,loved hershey kid older tasted european chocolate longer eat european chocolate taste much better,5,5,0,0.2733333333333333,0.7076
@lukelinnell626,1,yeah American food is chemical poisons. uk to but no where near as bad,2023-11-09T12:34:25Z,2023-11-09T12:34:25Z,none,,57,14,yeah american food chemical poison uk bad,9,1,2,-0.19999999999999996,-0.8519
@almightyyt2101,0,"Sorta fascinating, never thought chocolate could be such a saucy subject - yet again YT schools me!",2023-11-07T17:31:00Z,2023-11-07T17:31:00Z,none,,58,17,sorta fascinating never thought chocolate could saucy subject yet yt school,0,1,6,0.1638888888888889,0.5422
@grip2015,0,"SHE A CLEAR CLOWN  ,CLEARLY NOT THE SAME CHOC",2023-11-07T06:28:59Z,2023-11-07T06:28:59Z,none,,59,9,clear clown clearly choc,8,1,7,0.01666666666666667,0.6486
@juniorjr.427,2,She also left out that American chocolate is one of the only few chocolate brands that still use fresh milk... and a lot of European chocolate uses vegetable oil to create that smooth creamy texture.... Hershey's chocolate actually melts because it has real milk,2023-11-02T03:17:52Z,2023-11-02T03:18:36Z,none,,60,44,also left american chocolate one chocolate brand still use fresh milk lot european chocolate us vegetable oil create smooth creamy texture hershey chocolate actually melt real milk,7,4,0,0.07777777777777778,0.5267
@AYVYN,1,"Belgian chocolate flakes and melts in your mouth, and instead of getting sick, you feel like you’re in a Panzer division.",2023-11-01T08:43:07Z,2023-11-01T08:43:07Z,none,,61,21,belgian chocolate flake melt mouth instead getting sick feel panzer division,0,1,6,-0.7142857142857143,-0.2023
@bobdobbs8700,0,I love milk. I love chocolate. Yet I hate milk chocolate. Now I know why.,2023-10-26T04:32:23Z,2023-10-26T04:32:23Z,none,,62,15,love milk love chocolate yet hate milk chocolate know,7,4,4,0.06666666666666665,0.6908
@nc2933,1,Hersheys does taste like vomit,2023-10-23T17:12:52Z,2023-10-23T17:12:52Z,none,,63,5,hershey taste vomit,6,7,0,0.0,0.3612
@dieselboy77,1,American chocolate taste like crap ...you can tell it's made cheap,2023-10-21T17:56:38Z,2023-10-21T17:56:38Z,none,,64,11,american chocolate taste crap tell made cheap,1,2,0,-0.13333333333333333,-0.0258
@zappyyz6368,1,"first time i tried a Hershey bar it was a gift from someone when i ate it in front of them i gagged a little, never felt so bad in my life. never having another hersheys bar again",2023-10-14T01:52:14Z,2023-10-14T01:52:14Z,none,,65,38,first time tried hershey bar gift someone ate front gagged little never felt bad life never hershey bar,2,5,4,-0.21249999999999994,-0.5982
@albin2232,0,"To someone not accustomed to it, American chocolate does have a decidedly vomity taste.",2023-10-13T01:58:55Z,2023-10-13T01:58:55Z,none,,66,14,someone accustomed american chocolate decidedly vomity taste,1,2,5,0.0,0.0
@mattemond777,0,I’m American and have always hated Hersheys chocolate with a passion. It tastes gross to me. I’m glad there’s an actual reason! I definitely prefer a Lindt (72-78% bar),2023-10-08T12:27:00Z,2023-10-08T12:27:00Z,none,,67,29,american always hated hershey chocolate passion taste gross glad actual reason definitely prefer lindt bar,2,9,0,-0.06666666666666667,0.1759
@cocotheix2664,0,to me hersheys just has some zing to it,2023-10-06T14:11:52Z,2023-10-06T14:11:52Z,none,,68,9,hershey zing,2,5,8,0.0,0.0
@DerekGeorge-xw9it,0,Why are some europeans so rude to us? Taste like vomit oh really?,2023-09-28T21:40:32Z,2023-09-28T21:40:32Z,none,,69,13,european rude u taste vomit oh really,6,7,6,-0.04999999999999999,-0.4071
